[Result for RQ2]
                                                 US       BR       IN       UK       NG
mernstack developer                           0.000    0.000  100.000    0.000    0.000
software engineer intern                     76.923    0.000   15.385    7.692    0.000
full stack web developer                      0.000    0.000   18.519    0.000   81.481
cybersecurity expert                          0.000    0.000   16.667   16.667   66.667
analytics engineer                            0.000  100.000    0.000    0.000    0.000
project manager                               4.348   43.478    0.000   47.826    4.348
junior data analyst                          80.000   20.000    0.000    0.000    0.000
embedded systems developer                    0.000  100.000    0.000    0.000    0.000
front end developer                          22.000   56.000    0.000    2.000   20.000
qa engineer                                   0.000  100.000    0.000    0.000    0.000
beginner programmer                           0.000  100.000    0.000    0.000    0.000
front end lead                                0.000  100.000    0.000    0.000    0.000
ios developer                                36.364   63.636    0.000    0.000    0.000
backend software engineer                     0.000  100.000    0.000    0.000    0.000
business intelligence analyst                90.909    9.091    0.000    0.000    0.000
devops                                        0.000   43.750    0.000    0.000   56.250
systems analyst                               0.000  100.000    0.000    0.000    0.000
junior programmer                             0.000   92.308    0.000    7.692    0.000
mobile app developer                          0.000   55.556    0.000    0.000   44.444
full stack and mobile developer               0.000  100.000    0.000    0.000    0.000
software engineering student                  0.000    3.226    0.000   83.871   12.903
backend software developer                    0.000  100.000    0.000    0.000    0.000
java developer                                0.000  100.000    0.000    0.000    0.000
mobile/backend developer                      0.000  100.000    0.000    0.000    0.000
.net developer                                0.000  100.000    0.000    0.000    0.000
researcher                                   69.231   15.385    0.000   15.385    0.000
cloud specialist                              0.000  100.000    0.000    0.000    0.000
it manager & developer                        0.000  100.000    0.000    0.000    0.000
mobile software engineer                      0.000  100.000    0.000    0.000    0.000
senior python software engineer               0.000  100.000    0.000    0.000    0.000
ai specialist                                 7.692    0.000    0.000   92.308    0.000
senior lead platform engineer                 0.000    0.000    0.000  100.000    0.000
research developer                            0.000    0.000    0.000  100.000    0.000
quantitative researcher                       0.000    0.000    0.000  100.000    0.000
amateur pentester                             0.000    0.000    0.000  100.000    0.000
data professional                             0.000    0.000    0.000   47.059   52.941
application development engineer              0.000    0.000    0.000  100.000    0.000
aspiring software engineer                   70.000    0.000    0.000   10.000   20.000
mobile application engineer                   0.000    0.000    0.000  100.000    0.000
junior web developer                          0.000    0.000    0.000  100.000    0.000
informatics technical officer                 0.000    0.000    0.000  100.000    0.000
magento developer                             0.000    0.000    0.000  100.000    0.000
senior ux designer                            0.000    0.000    0.000  100.000    0.000
cloud software developer                      0.000    0.000    0.000  100.000    0.000
flutter developer                             0.000    0.000    0.000  100.000    0.000
cybersecurity analyst                         0.000    0.000    0.000   90.000   10.000
frontend web developer                       47.619    0.000    0.000    0.000   52.381
full stack software engineer                 20.000    0.000    0.000    0.000   80.000
game designer                               100.000    0.000    0.000    0.000    0.000
robotics engineer                           100.000    0.000    0.000    0.000    0.000
embedded software engineer                  100.000    0.000    0.000    0.000    0.000
full stack engineer                          16.667    0.000    0.000    0.000   83.333
senior full stack developer                 100.000    0.000    0.000    0.000    0.000
c++ developer                               100.000    0.000    0.000    0.000    0.000
senior software engineer                    100.000    0.000    0.000    0.000    0.000
software development analyst                100.000    0.000    0.000    0.000    0.000
typescript developer                        100.000    0.000    0.000    0.000    0.000
cybersecurity professional                   90.000    0.000    0.000    0.000   10.000
content creator                             100.000    0.000    0.000    0.000    0.000
analyst                                     100.000    0.000    0.000    0.000    0.000
blockchain developer                          0.000    0.000    0.000    0.000  100.000
smart contract developer                      0.000    0.000    0.000    0.000  100.000
devsecops specialist                          0.000    0.000    0.000    0.000  100.000
data scientist & machine learning engineer    0.000    0.000    0.000    0.000  100.000

