login,location,bio,pronouns,createdAt
Username_45490,ISO remote JavaScript work,全栈工程师，软件开发经理,,2022-01-01T01:24:30Z
Username_45491,"Southern California, CA","Software Developer & Advocate
JavaScript | React | Node.js | TypeScript | Python | PostegreSQL",,2022-01-01T01:33:34Z
Username_45492,"Mohammadpur, Dhaka, Bangladesh","I'm a passionate software engineer skilled in multiple languages, dedicated to innovative solutions in challenging projects. ""Old Acc Disabled!"" This Is New Acc",,2022-01-01T01:38:33Z
Username_45493,china,man,,2022-01-01T01:33:16Z
Username_45494,Portugal,Studying Computer Science and Engineering @ Instituto Superior Técnico.,,2022-01-01T01:49:51Z
Username_45495,"New Jersey, United States",python one trick pony 💔🥀,he/him,2022-01-01T01:48:57Z
Username_45496,Montreal,"Hello, I code for the fun of learning.
I am software eng. currently employed but on my free time I develop projects or learn new languages.",,2022-01-01T01:47:22Z
Username_45497,"Dhaka, Bangladesh","Hi! I'm MD Farid
Motivated MERN stack developer is proficient in HTML, CSS, JavaScript, and React. Skilled in MongoDB, Express, and Node.",he/him,2022-01-01T01:45:46Z
Username_45498,Türkmenistan,Kkuwwat968,,2022-01-01T01:43:04Z
Username_45499,Brno,"Student at FIT BUT.


",he/him,2022-01-01T01:59:30Z
Username_45500,Westwing Group AG,📊 Data connoisseur; 💼 MLOps,,2022-01-01T01:57:03Z
Username_45501,atillo 8,"xd
",,2022-01-01T01:55:30Z
Username_45502,nagoya,Python | SQL | HTML | CSS | JavaScript | jQuery | Photoshop,,2022-01-01T01:59:40Z
Username_45503,Spain,Mathematics student looking to learn something new!,,2022-01-01T01:54:16Z
Username_45504,"Los Angeles, CA","Currently, I am a fourth year undergrad at the University of California San Diego studying Math-Computer Science. I have a Math and Physics Associates’ Degrees.",,2022-01-01T02:08:27Z
Username_45505,Santiago de chile,"Sólidos conocimientos en la planificación de proyectos mineros, gestión y control. Seguimiento de etapas operativas de proyectos y elaboración de indicadores. D",,2022-01-01T02:09:38Z
Username_45506,infotointell,Old Time is still a-flying,,2022-01-01T02:03:10Z
Username_45507,"Hoorn, NL","Old profile: @makhauser
Senior System Engineer (Wintel)",he/him,2022-01-01T02:05:57Z
Username_45508,Bheemini,Love you❤,,2022-01-01T02:06:31Z
Username_45509,Erode,"Bigil Toks is a Digital Marketing Agency in Erode and Website Design Company in Erode that specializes in website design, digital marketing, SEO Services",,2022-01-01T02:09:45Z
Username_45510,Canada,"I have a deep love for technology, learning to create things and getting them to run brings me endless joy.",,2022-01-01T02:03:54Z
Username_45511,"Chicago, IL","""Building Tomorrow's World, One Commit at a Time""",,2022-01-01T02:16:42Z
Username_45512,"Taguig City, Philippines",BS Math Junior @ UP Diliman. Kid who codes for fun.,he/him,2022-01-01T02:17:50Z
Username_45513,Hậu giang,Bon ba. Ngoài doi,,2022-01-01T02:12:55Z
Username_45514,Lean Company Digital,🐱‍👤Software Developer,,2022-01-01T02:16:44Z
Username_45515,Somewhere on this earth...,"Hi, I have experience with Python, JS, C#, Lua, HTML and CSS.",Buy BlueCoin,2022-01-01T02:10:39Z
Username_45516,"Canada, Ontario",imdownbad#6969,,2022-01-01T02:28:08Z
Username_45517,Indonesia,Hello I'm a backend engineer.  ,,2022-01-01T02:29:05Z
Username_45518,"Jiangxi Province, China",My favorite is playing Minecraft Bedrock Edition.My Xbox account is XiaochenOne2848.,,2022-01-01T02:26:48Z
Username_45519,"Ahmedabad, Gujarat","I am Harshit Satyawali and I am 15 years old. I am studying in class 11th. I love to study math, physics and of course computer science. ",,2022-01-01T02:25:54Z
Username_45520,Brentwood,I like the good stuff,,2022-01-01T02:21:58Z
Username_45521,"Seoul, Korea","ME in Electrical Engineering at Korea Univ.
BE in Biomedical Engineering at Korea Univ.",,2022-01-01T02:20:48Z
Username_45522,@amzn,backend dev,,2022-01-01T02:26:34Z
Username_45523,Nigeria,Just a Creative,he/him,2022-01-01T02:23:09Z
Username_45524,"Minas Gerais, Brazil","Não, não sou um furry. Só um cara preguiçoso que usa a mesma foto de perfil desde 2017, e achava lobos ""maneiros"".",,2022-01-01T02:30:07Z
Username_45525,新加坡,#Bitcoin| $ETH | #Web3 | #DAO| #NFT | #Gamefi Take your destiny in your own hands,,2022-01-01T02:30:08Z
Username_45526,Nigeria,"I am a Web developer, Frontend developer with JavaScript and Backend Developer with Python and PHP. ",,2022-01-01T02:36:28Z
Username_45527,Nzooji,⛰️🌲🐍🧙😇🧙🐍🌲⛰️ how do u do fellow humans🛹,,2022-01-01T02:30:36Z
Username_45528,"No. 932, Lushan South Road, Yuelu District, Changsha City, Hunan Province",Central South University major in Computer  Technology,she/her,2022-01-01T02:38:02Z
Username_45529,France,Étudiant en master informatique.,he/him,2022-01-01T02:46:22Z
Username_45530,Melbourne,"I am learning
",,2022-01-01T02:43:48Z
Username_45531,west2 online,Repeat Yourself!,,2022-01-01T02:46:35Z
Username_45532,Hargeysa,ha,,2022-01-01T02:41:02Z
Username_45533,四川省成都市双流区川大路二段2号,"致力于mc同人向科技模组：千年科工制作中！

Sichuan University/major in Chemical Engineering and Technology",,2022-01-01T02:56:39Z
Username_45534,大阪のどこか,ばか,He / She / It / They,2022-01-01T02:53:23Z
Username_45535,"Mexicali, Baja California, Mexico",Software Engineering Student,,2022-01-01T02:57:33Z
Username_45536,Cratebind,Wannabe Software Engineer. Java | Go | Python | Backend.,,2022-01-01T02:58:35Z
Username_45537,Rembang,Sleep Tomorrow,,2022-01-01T02:56:30Z
Username_45538,Graveyard,discord.gg/chiefjustice,,2022-01-01T02:54:01Z
Username_45539,"Mississauga, ON",This is the second account of @quangvietnguyen,,2022-01-01T02:55:54Z
Username_45540,"Siddharth Nagar, Uttar Pradesh, India, 272192",Full stack developer and very passionate to learn new technology and solve problem ,,2022-01-01T03:09:14Z
Username_45541,Pune,Fresher | Web Developer | CS Graduated,,2022-01-01T03:08:37Z
Username_45542,"DFW, TX","Aspiring Business Analyst with experience in SQL, Tableu, PowerBI, and Python. An avid learner with a passion for problem solving, very diverse and adaptable.",she/her,2022-01-01T03:02:26Z
Username_45543,"Sacramento, CA","📚 Full stack student

☠ Mortuary Sciences Student

🌊 SCUBA diver, mermaid photographer
",,2022-01-01T03:12:44Z
Username_45544,"Hyderabad, Telangana, India.","AWS ☁ ||
Kubernetes 🔥🔥🔥 || 
Terraform || Jenkins || Ansible || CloudFormation || GitHub Actions || Python || Groovy || Java || Open Source Contributor 🖥",,2022-01-01T03:16:20Z
Username_45545,Canada,I love being able to solve problems through code,,2022-01-01T03:14:44Z
Username_45546,Hangzhou,undergraduate ,,2022-01-01T03:18:17Z
Username_45547,ERODE,READY FOR LEARN:),,2022-01-01T03:10:35Z
Username_45548,kasnfksnadkfnsdk,sanfknsadknjkdn,,2022-01-01T03:19:46Z
Username_45549,深圳市光明区,马上毕业的大学生,he/him,2022-01-01T03:14:13Z
Username_45550,"Irvine, CA",Currently learning web development @https://github.com/TheOdinProject,,2022-01-01T03:13:02Z
Username_45551,Hassan,Do it yourself,,2022-01-01T03:17:58Z
Username_45552,Centrica,I'm not that Phil Haack.,,2022-01-01T03:13:50Z
Username_45553,"NKG, PRC.","to be, or not to be.",she/her,2022-01-01T03:27:01Z
Username_45554,China,相逢思绪难书尽，情到浓时不题诗。,,2022-01-01T03:20:56Z
Username_45555,"Anchorage, AK, United States","I'm a software developer from North Pole, Alaska, and Seattle, Washington, originally from Bamberg, Germany. When Life gives you lemons, buy a VW Beetle. ",,2022-01-01T03:22:29Z
Username_45556,Pondicherry,Pre-Final year student,he/him,2022-01-01T03:20:13Z
Username_45557,Rangkasbitung,"@OSSDAO-ORG•AIRDROP-
0x618ce5B29EBD5199f2B884A2Ae46823597d1BC99",,2022-01-01T03:22:19Z
Username_45558,"Dhaka, Bangladesh","As a future expert in software quality assurance, I'm eager to expand my knowledge and abilities in this area.",,2022-01-01T03:23:07Z
Username_45559,sukabumi,Sukses adalah berjalan dari kegagalan ke kegagalan tanpa kehilangan semangat.,,2022-01-01T03:23:37Z
Username_45560,Bangladesh,Full Stack Developer || Django Developer || React Js Developer,,2022-01-01T03:37:01Z
Username_45561,Brazil,"Back-end developer specializing in Java, Kotlin and Python;",,2022-01-01T03:30:10Z
Username_45562,Vietnam,"I'm IT Recuiter/ Talent Acquisition Researcher
---Nice to connect with you!---",,2022-01-01T03:38:21Z
Username_45563,in south-korea,"수학적 논리로 코드를 짜는 클린코드너 Back-end Dev.
",,2022-01-01T03:32:48Z
Username_45564,faisalabad punjab,I am a web developer ,,2022-01-01T03:35:19Z
Username_45565,Austria,Biggest Python one-trick you will ever see ;),,2022-01-01T03:39:13Z
Username_45566,"Chittagong, Bangladesh","I can write 'Hello world' in JS
",she/her,2022-01-01T03:43:32Z
Username_45567,worldwide,Founder of Project Green Cameroon. I'm actively recruiting developers/co founders to build an app on blockchain.  ,,2022-01-01T03:50:52Z
Username_45568,Florida,"Software Engineer | JavaScript, Python, React/Redux, HTML5, CSS3, Express, Flask, PostgreSQL, SQLAlchemy, C++, Java",,2022-01-01T03:58:04Z
Username_45569,Western Australia,PhD candidate and a passionate software engineer. I am focusing on development of APIs which interface directly with the LoRaWAN boards and SBCs.,,2022-01-01T03:54:51Z
Username_45570,Czechia,@thefalkonit,,2022-01-01T03:55:10Z
Username_45571,Indonesia,"Just started learning to code in 2022, hope to discover a whole new exciting world! ",,2022-01-01T03:55:14Z
Username_45572,WFH ONLY,"Lead Programmer and Software Architect
andy *at* sjmaro. com",he/him,2022-01-01T03:58:16Z
Username_45573,"Cleveland, OH","Mechanical Engineer 
University of Akron",,2022-01-01T04:06:28Z
Username_45574,"Nantes, France",Junior frontend | Javascript | React,he/him,2022-01-01T04:09:20Z
Username_45575,Rodez,"Aspiring developer in training, learning C, Python, and web development. ",,2022-01-01T04:14:43Z
Username_45576,Bangalore,Full Stack Developer🌟🌟,,2022-01-01T04:17:08Z
Username_45577,"Shanghai, China",@Danxi-Dev,,2022-01-01T04:19:21Z
Username_45578,Fort Worth,"Third-year computer science student at Texas Christian University, Fort Worth, TX. 
",,2022-01-01T04:18:42Z
Username_45579,CDMX,"Data Scientist in the making, currently working as an AI/ML Engineer constantly learning.
Let's work together!",,2022-01-01T04:22:05Z
Username_45580,Rachi,Ok,,2022-01-01T04:28:22Z
Username_45581,?,?,,2022-01-01T04:24:20Z
Username_45582,China,A newbie developer,,2022-01-01T04:27:08Z
Username_45583,Ho Chi Minh City,"Hi, my name is Minh Tri but you can call me Tris. I'm a sophomore majoring in Software Engineering.  I'm pleased to share my knowledge.

Nice to meet you 😁",he/him,2022-01-01T04:31:19Z
Username_45584,Seoul,I am still traveling.,he/him,2022-01-01T04:39:23Z
Username_45585,Noida,Experienced Full Stack Developer with a strong focus on backend development using PHP and Laravel.,,2022-01-01T04:34:27Z
Username_45586,Toronto,ECE2T5 at UofT,,2022-01-01T04:44:43Z
Username_45587,Bangalore,"Full Stack Engineer ||Keep learning, sharing and growing ||",,2022-01-01T04:49:28Z
Username_45588,"Tampa, Florida","Making the impossible, possible",she/her,2022-01-01T04:44:11Z
Username_45589,Karachi,"Graduate
ASP.NET-MVC

",,2022-01-01T04:43:20Z
Username_45590,"Cumilla, Chittagong, Bangladesh",Passionate about web development. Want to take a challenging role as a Front-end Web Developer where I can utilize my skills and keep myself up to date.,,2022-01-01T04:40:09Z
Username_45591,"Sydney, NSW - Australia",Fullstack Developer | React | Node | Python | Javascript | Typescript | MongoDB ...,,2022-01-01T04:46:08Z
Username_45592,Satara,"👋 Hi, I’m @pritamnikam1204.
👀 I’m interested in data analyst.
🌱 I’m currently learning data analyst.
💞️ I’m looking to collaborate on data analyst projec",,2022-01-01T04:45:24Z
Username_45593,"New York, NY",code enthusiast - always learning and looking for new challenges!,,2022-01-01T04:57:09Z
Username_45594,"Narayanganj District, Dhaka, Bangladesh","Passionate Front-End developer with one year experience in using HTML, CSS and JavaScript and React looking for an opportunity to grow professionally.",,2022-01-01T04:53:27Z
Username_45595,Egypt,GE Proficy Specialist | Thingworx Developer | O365 Architect | ASP.Net Full Stack Developer | at Procter & Gamble,,2022-01-01T04:58:34Z
Username_45596,YE,"Hi, I'm Hodifa Al-hodify
Tech enthusiast & software developer. Passionate about clean code, modern tools, and building real solutions.",,2022-01-01T04:53:49Z
Username_45597,India,"Deeeevvv
",he/him,2022-01-01T05:06:27Z
Username_45598,visakhapatnam,"
",,2022-01-01T05:00:27Z
Username_45599,"Feni, Bangladesh","নতুন কিছু শিখি, নতুন ভাবে জীবন গড়ি।",he/him,2022-01-01T05:07:34Z
Username_45600,Turkye,Sadras,,2022-01-01T05:00:05Z
Username_45601,Korea,"gonnaBgoood
",,2022-01-01T05:05:05Z
Username_45602,"Yazd, Iran",React Developer,,2022-01-01T05:14:03Z
Username_45603,"Uzbekistan, Tashkent","male
helix.dx discord",he|lix,2022-01-01T05:14:47Z
Username_45604,United States,"🚀 Data Engineer | Aspiring ML Engineer | Cloud Enthusiast

👩‍💻 Turning data into insights and automation into impact",she/her,2022-01-01T05:13:41Z
Username_45605,"Bangladesh, Rangpurt",Children Book Illustration,,2022-01-01T05:18:42Z
Username_45606,Hdhdhhdh,Hhhhh,,2022-01-01T05:19:33Z
Username_45607,Here,Linux user in law.,,2022-01-01T05:28:11Z
Username_45608,Kaduna kaduna,I love coding,,2022-01-01T05:25:23Z
Username_45609,"Sylhet, Bangladesh","Frontend Developer | MERN Stack Developer.
I love coding. I love to do coding.",,2022-01-01T05:36:40Z
Username_45610,"Islamabad, Punjab ,Pakistan","I am a dedicated DevOps Engineer with a strong web development background. My expertise includes automating deployment processes, managing CI/CD pipelines.",,2022-01-01T05:31:38Z
Username_45611,"Kanchanpur, Nepal",My bank account may be confused but at least my code can tell the difference between a cat and a hat.,,2022-01-01T05:31:22Z
Username_45612,Thailand,I don't code nor do I know any languages.,,2022-01-01T05:38:24Z
Username_45613,"Melbourne, VIC",Implementation Consultant | SQL | Power BI | Python,,2022-01-01T05:35:25Z
Username_45614,Bhopal,I am Professor of Mathematics /Statistics and 45 years of age.,,2022-01-01T05:33:26Z
Username_45615,中国·北京,a common human......,,2022-01-01T05:37:23Z
Username_45616,中国广州,好好学习，天天上班！,,2022-01-01T05:47:00Z
Username_45617,Delhi,"JEE & NDA Aspirant
Learning Web Development at Codekaro",,2022-01-01T05:48:55Z
Username_45618,"Minas Gerais,Brasil",front-end developer building responsive interfaces and seeking my first role. Check out my projects!,he/him,2022-01-01T05:46:25Z
Username_45619,"Fort Myers, Florida","Hello, my name is Peter. I have been responsible for various aspects of software design and development. I enjoy taking on challenging projects. ",,2022-01-01T05:41:07Z
Username_45620,Beijing China,Noting to tell you.,,2022-01-01T05:55:07Z
Username_45621,江湖,"English, 中文, 日本語",,2022-01-01T05:50:52Z
Username_45622,"Colombo, Sri Lanka",Final year IT undergraduate at University of Moratuwa and trainee software engineer eager to apply knowledge and gain practical experience.,he/him,2022-01-01T05:51:23Z
Username_45623,"Dhaka, Bangladesh","Student of Computer Science and Engineering at Green University of Bangladesh, Dhaka",,2022-01-01T05:53:41Z
Username_45624,"Chittagong,Bangladesh","I am a passionate MERN Stack developer. I love working with the latest
technology. And I’m learning new technologies, and trying to gain knowledge.",,2022-01-01T05:52:17Z
Username_45625,"Zhejiang, China",Just do it.,,2022-01-01T05:52:46Z
Username_45626,"Pearland, TX",Pursuing a Bachelors's Degree in Computer Science with a Mathematics Minor @ UH.,he/him,2022-01-01T05:57:40Z
Username_45627,NY,BS Computer Engineering Junior at Binghamton University,,2022-01-01T05:51:01Z
Username_45628,VietNam,Just a person who wants make some game.,,2022-01-01T05:53:36Z
Username_45629,"New Delhi, India","I am Devank Sachdeva, a student, developer and a tech enthusiast. Looking to contribute in open-source",,2022-01-01T06:02:22Z
Username_45630,"Mirpur 10 ,Dhaka ,Bangladesh","<?php  
     echo "" আলহামদুলিল্লাহ 🖤"" 
     dd(""don't trust anyone"")
     echo "" ইন শা আল্লাহ 🖤""
?>",,2022-01-01T06:06:42Z
Username_45631,"Khilgaon,Dhaka,Bangladesh.",Student of CSE | Competitive Programmer | Problem Solver,,2022-01-01T06:04:09Z
Username_45632,Windhoek,Monitoring and Evaluation,,2022-01-01T06:05:37Z
Username_45633,"Hefei,China","🎸Here's to the crazy ones, the misfits, the rebels.",he/him,2022-01-01T06:07:22Z
Username_45634,"Jerusalem, Israel",Ronen Roytman is a Israeli Binary File Data Expert . Learn how to read data from binary files using Azure Databricks. What is the easiest way (using a graphical,,2022-01-01T06:02:37Z
Username_45635,United Kingdom,"The Este Medical Group was established in Turkey in 1994, and since then has grown to become a worldwide business with branches in 52 countries across the globe",,2022-01-01T06:07:48Z
Username_45636,"Vancouver, BC, Canada",No Code No Bug!🤞,,2022-01-01T06:03:09Z
Username_45637,inside your mailbox,mailbox,She/They,2022-01-01T06:04:08Z
Username_45638,Nowhere,Contact on discord for any reason: @histidinedwarf ,,2022-01-01T06:18:32Z
Username_45639,Pakistan,I am Passionate Flutter Developer,,2022-01-01T06:17:53Z
Username_45640,Suwon,gg,,2022-01-01T06:17:54Z
Username_45641,kakinada,trying hard to have good future,,2022-01-01T06:19:18Z
Username_45642,HangZhou,Talk is cheap. Show me the code.,,2022-01-01T06:16:26Z
Username_45643,Currently Iran,F*****,,2022-01-01T06:19:41Z
Username_45644,"BTI Central Plaza, 103, Firmgate","Machine Learning, IoT based R&D Company",,2022-01-01T06:12:57Z
Username_45645,New Delhi,"Pursuing MCA - Uttaranchal University Dehradun.
BCA - IP University Delhi",he/him,2022-01-01T06:15:55Z
Username_45646,"Islamabad, Pakistan","Data Scientist | Data Analyst | Pricing Analyst | Drop shipper (Amazon, Walmart, and eBay) | Project Engineer | Electrical Engineer",,2022-01-01T06:24:12Z
Username_45647,Yogyakarta,"My Name is Divka Shafira, I'm 20 y.o. I'm currently pursuing my education at University of AMIKOM Yogyakarta, and I'm majoring in informatics.",she/her,2022-01-01T06:25:34Z
Username_45648,Bangladesh,"hello...
I am a Web Developer and junior programmer.I work at fiverr and upwork.
My service is frontend and backend to solve any problem.",,2022-01-01T06:25:13Z
Username_45649,FROM RAFIKABAD IN DASNA,"Pursuing MCA from HI-TECH INSTITUTE OF ENGINEERING AND TECHNOLOGY 
BCA Passout from INMANTEC INSTITUTE",,2022-01-01T06:23:08Z
Username_45650,Herat Afganistan,"A skilled front-end programmer with three years of experience, Ebrahim has a proven track record of building responsive and visually appealing web applicati",,2022-01-01T06:23:19Z
Username_45651,"Potsdam, Germany","After 3 years of postdoc in the field of systems biology and mathematical modeling, I completed the data  science program at Le Wagon (Berlin)",,2022-01-01T06:20:29Z
Username_45652,San Francisco,"Software Engineer with a passion for developing full-stack, single-page apps in JavaScript | React | Redux | Ruby on Rails | & more",,2022-01-01T06:29:19Z
Username_45653,黄金管家,Post-doctoral researcher at ITP-CAS 🇨🇳. Ph.D. at BNU in theoretical physics. Interests include data analysis of gravitational waves and machine learning.,,2022-01-01T06:21:46Z
Username_45654,Germany,Dewan Shafiqul Islam hat nach seinem Studium (Datentechnik)die Firma CLS Computer gegründet. Bereits zur Anfangszeit überzeugte sein Unternehmen durch hohe...,,2022-01-01T06:27:23Z
Username_45655,Da Nang,I love money,he/him,2022-01-01T06:29:14Z
Username_45656,Mumbai,"Dedicated and detail-oriented Bachelor of Computer Applications (BCA) Graduated with a strong foundation in computer science principles, software 
development.",he/him,2022-01-01T06:34:31Z
Username_45657,Damon Tx,"I'm Trying To Do All The Things I Said I Never Do In Life , So Here Are Some Ideas 
-Raiseing Funds To Open Up A New Childrens Hospital For Long Term Patients ",,2022-01-01T06:36:56Z
Username_45658,Bangladesh,"Professional WordPress Website Developer And Ecommerce Expert.
",,2022-01-01T06:39:39Z
Username_45659,@PWAPilipinas,新浪微博 @爱可可-爱生活,,2022-01-01T06:34:40Z
Username_45660,Yogyakarta,"My Name is Sinta Dwi Lestari, I'm 21 Y.O. I'm currently pursuing my education at the University of AMIKOM Yogyakarta, and I'm majoring in Informatics.",she/her,2022-01-01T06:30:29Z
Username_45661,IIT Kanpur,"M.Tech, Aerospace Engineering,
Data Science Enthusiast, An Artist and Astrophile",,2022-01-01T06:37:07Z
Username_45662,Dhaka,A computer science student who is currently pursuing a degree and trying to achieve skills.,,2022-01-01T06:37:12Z
Username_45663,"Lansing, MI","Nonprofit comms + strategy that is anti-racist, inclusive, and accessible. ⚡️
Avoid nonprofit burnout by putting the effort where it counts. 🧠",,2022-01-01T06:36:40Z
Username_45664,中国,佃农,,2022-01-01T06:38:12Z
Username_45665,"Seoul, Korea",Microsoft Learn Student Ambassador,,2022-01-01T06:48:33Z
Username_45666,California,"for inquiries, email me at kokonico[at]duck.com.
",,2022-01-01T06:40:22Z
Username_45667,Taiwan,Hey There is always a better way.,,2022-01-01T06:45:55Z
Username_45668,Sydney,Student @ UNSW CSE,,2022-01-01T06:40:19Z
Username_45669,"Kolkata, West Bengal, India",Upcoming MLE Intern @ Hyperverge | Ex SDE Intern @ Superbolter | MLR @ IISc | CS @ IIITK,he/him,2022-01-01T06:40:20Z
Username_45670,nazar,gh,,2022-01-01T06:47:00Z
Username_45671,Bengaluru,I am a MERN stack developer.,he/him,2022-01-01T06:48:23Z
Username_45672,sasaram,No Any Can Hurt Me ,,2022-01-01T06:43:26Z
Username_45673,China,I'm currently an undergraduate student majoring in Mathematics and Computer Science from Guangdong Technion-Israel Institute of Technology.,,2022-01-01T06:41:45Z
Username_45674,Iteris,〘ꙮ〙,,2022-01-01T06:40:40Z
Username_45675,"Bangalore,Karnataka","Karthik Kavathekar, Software Engineer at Torry Haris Integration Solution, excelling in coding with diverse skills. Let's build exceptional solutions together!",,2022-01-01T06:56:06Z
Username_45676,spark,Here is Lucas.Nice to meet u.,,2022-01-01T06:55:49Z
Username_45677,"Cantt area, Lahore","Take the game down to the wire 🔥, if you have adrenaline in your veins. ✨",I'mHRaza,2022-01-01T07:03:53Z
Username_45678,BAREILLY UP,"🌱 I’m currently looking for a job 

📫 How to reach me itsvikas94@gmail.com


",he/him,2022-01-01T07:09:36Z
Username_45679,West Bengal,Full stack developer ,he/him,2022-01-01T07:05:06Z
Username_45680,Park hills mo,"@mention BradKetcherside88@gmail.com
",,2022-01-01T07:07:43Z
Username_45681,India,I am a full stack developer having a  bachlors degree in ETC and a certification course in Embedded systems. ,she/her,2022-01-01T07:08:17Z
Username_45682,Bhopal,Programming enthusiast,,2022-01-01T07:01:20Z
Username_45683,Confirmit. AS,探索者&工程师&创业者,,2022-01-01T07:00:19Z
Username_45684,"Dhaka, Bangladesh ",Web Designer And Developer,,2022-01-01T07:07:34Z
Username_45685,Seoul,:D,,2022-01-01T07:12:26Z
Username_45686,"Chittagong, Bangladesh",Front-End Developer,,2022-01-01T07:15:37Z
Username_45687,Mumbai,Passionate programmer building a world of possibilities with code.,,2022-01-01T07:10:35Z
Username_45688,Nagpur,Data science and machine learning enthusiastic,,2022-01-01T07:15:04Z
Username_45689,"Lawrence, ks",I'm 32 and I don't know what the hell is going on with this whole thing.someone please help me...,,2022-01-01T07:11:10Z
Username_45690,Brazil,Web Developer | FullStack | JavaScript / NodeJS / React,,2022-01-01T07:27:22Z
Username_45691,"Dhaka, Bangladesh","Expert MERN Stack Developer is proficient in React.js, MongoDB, Express.js, and Node.js. I am dedicated to creating seamless and scalable web applications.",he/him,2022-01-01T07:27:57Z
Username_45692,iran,"Computer Science student at U. Bahonar, Kerman. Building web apps & exploring AI. Passionate about tech, learning, and creating innovative solutions.",he/him,2022-01-01T07:28:30Z
Username_45693,Kopargaon,B.Tech | Data Science | Python | SQL |  NLP | Java | C++,,2022-01-01T07:28:04Z
Username_45694,FORT ST. JAMES,"Logger timber Cruiser
Hockey player & fan
Work hard Play hard",,2022-01-01T07:26:07Z
Username_45695,Goregoan,Software Engineer,,2022-01-01T07:25:05Z
Username_45696,"Tamilnadu,India","Web Developer 
MERN Stack Developer
Experience at 2 Years in Freelancing",,2022-01-01T07:24:03Z
Username_45697,bengaluru,Software engineer,,2022-01-01T07:22:36Z
Username_45698,Cjfgvv,Hacket,,2022-01-01T07:24:21Z
Username_45699,Makassar,Life to short,,2022-01-01T07:22:23Z
Username_45700,Tonga-6 Microsmart,"(Alone)
Life_Don't_Care)
Respect 4 Girls Physical Use ",,2022-01-01T07:22:44Z
